ID,name,rgb,First Year,Last Year
178,Flat Dark Gold,B48455,2002,2007
57,Trans-Neon Orange,FF800D,1993,2022
1064,Fabuland Red,FF8014,1979,1994
84,Medium Nougat,AA7D55,2000,2023
450,Fabuland Brown,B67B50,1979,1997
1088,Medium Brown,755945,2022,2023
92,Nougat,D09168,1979,2023
1056,Trans-Brown Opal,583927,2020,2023
6,Brown,583927,1974,2008
134,Copper,AE7A59,2002,2012
70,Reddish Brown,582A12,1961,2023
86,Light Brown,7C503A,2002,2006
1067,Dark Nougat,AD6140,2001,2004
1072,Pearl Brown,57392C,2003,2006
1068,Reddish Orange,EE5434,2003,2004
12,Salmon,F2705E,1997,2000
4,Red,C91A09,1949,2023
36,Trans-Red,C91A09,1969,2023
216,Rust,B31004,1991,2001
335,Sand Red,D67572,2001,2004
79,Milky White,FFFFFF,1963,2008
47,Trans-Clear,FCFCFC,1954,2023
183,Pearl White,F2F3F2,2003,2006
503,Very Light Gray,E6E3DA,1997,2004
151,Very Light Bluish Gray,E6E3E0,2000,2013
383,Chrome Silver,E0E0E0,1977,2018
80,Metallic Silver,A5A9B4,1957,2023
150,Pearl Very Light Gray,ABADAC,2002,2004
71,Light Bluish Gray,A0A5A9,2002,2023
135,Pearl Light Gray,9CA3A8,1998,2015
7,Light Gray,9BA19D,1954,2019
179,Flat Silver,898788,2009,2023
8,Dark Gray,6D6E5C,1961,2006
72,Dark Bluish Gray,6C6E68,2003,2023
40,Trans-Black,635F52,1999,2023
148,Pearl Dark Gray,575857,2001,2023
64,Chrome Black,1B2A34,2008,2020
0,Black,05131D,1957,2023
117,Glitter Trans-Clear,FFFFFF,1999,2023
15,White,FFFFFF,1949,2023
1055,Trans-Clear Opal,FCFCFC,2020,2023
1000,Glow in Dark White,D9D9D9,2005,2023
