"","id","name","prefix","r","g","b","alp","is_trans","hex","alpha","rgb","h","s","v"
"119",373,"Sand Purple","rgba","132","94","132","1","f","#845E84",0,"132,94,132",0.833333333333333,0.287878787878788,0.517647058823529
"120",378,"Sand Green","rgba","160","188","172","1","f","#A0BCAC",0,"160,188,172",0.404761904761905,0.148936170212766,0.737254901960784
"121",379,"Sand Blue","rgba","96","116","161","1","f","#6074A1",0,"96,116,161",0.615384615384615,0.403726708074534,0.631372549019608
"122",383,"Chrome Silver","rgba","224","224","224","1","f","#E0E0E0",0,"224,224,224",0,0,0.87843137254902
"123",450,"Fabuland Brown","rgba","182","123","80","1","f","#B67B50",0,"182,123,80",0.0702614379084967,0.56043956043956,0.713725490196078
"124",462,"Medium Orange","rgba","255","167","11","1","f","#FFA70B",0,"255,167,11",0.10655737704918,0.956862745098039,1
"125",484,"Dark Orange","rgba","169","85","0","1","f","#A95500",0,"169,85,0",0.0838264299802761,1,0.662745098039216
"126",503,"Very Light Gray","rgba","230","227","218","1","f","#E6E3DA",0,"230,227,218",0.125,0.0521739130434783,0.901960784313726
"127",1000,"Glow in Dark White","rgba","217","217","217","1","f","#D9D9D9",0,"217,217,217",0,0,0.850980392156863
"128",1001,"Medium Violet","rgba","147","145","228","1","f","#9391E4",0,"147,145,228",0.670682730923695,0.364035087719298,0.894117647058824
"129",1002,"Glitter Trans-Neon Green","rgba","192","245","0","1","t","#C0F500",0.8,"192,245,0",0.202721088435374,1,0.96078431372549
"130",1003,"Glitter Trans-Light Blue","rgba","104","188","197","1","t","#68BCC5",0.8,"104,188,197",0.516129032258065,0.472081218274112,0.772549019607843
"131",1004,"Trans Flame Yellowish Orange","rgba","252","183","109","1","t","#FCB76D",0.8,"252,183,109",0.0862470862470863,0.567460317460317,0.988235294117647
"132",1005,"Trans Fire Yellow","rgba","251","232","144","1","t","#FBE890",0.8,"251,232,144",0.137071651090343,0.426294820717131,0.984313725490196
"133",1006,"Trans Light Royal Blue","rgba","180","212","247","1","t","#B4D4F7",0.8,"180,212,247",0.587064676616915,0.271255060728745,0.968627450980392
"134",1007,"Reddish Lilac","rgba","142","85","151","1","f","#8E5597",0,"142,85,151",0.810606060606061,0.437086092715232,0.592156862745098
"135",9999,"[No Color]","rgba","5","19","29","1","f","#05131D",0,"5,19,29",0.569444444444444,0.827586206896552,0.113725490196078
