Date,close,year,month,dom,day_name,month_name,dow,eom,days_to_eom,wom,returns,cum_returns,returns0
2012-09-10,1429.08,2012,9,10,Monday,September,0,2012-09-30,-20.0,2,,,
2012-09-11,1433.56,2012,9,11,Tuesday,September,1,2012-09-30,-19.0,2,0.0031299804777846774,0.0031299804777846774,0.003134883981302572
2012-09-12,1436.56,2012,9,12,Wednesday,September,2,2012-09-30,-18.0,2,0.0020905056879527706,0.005220486165737448,0.0020926923184241275
2012-09-13,1459.99,2012,9,13,Thursday,September,3,2012-09-30,-17.0,2,0.016178219630214485,0.021398705795951933,0.01630979562287682
2012-09-14,1465.77,2012,9,14,Friday,September,4,2012-09-30,-16.0,2,0.0039511152790705495,0.025349821075022483,0.00395893122555635
2012-09-17,1461.19,2012,9,17,Monday,September,0,2012-09-30,-13.0,3,-0.0031295294353350656,0.022220291639687417,-0.003124637562509802
2012-09-18,1459.32,2012,9,18,Tuesday,September,1,2012-09-30,-12.0,3,-0.00128059842668371,0.020939693213003707,-0.001279778810421739
2012-09-19,1461.05,2012,9,19,Wednesday,September,2,2012-09-30,-11.0,3,0.0011847815190320077,0.022124474732035715,0.0011854836499192167
2012-09-20,1460.26,2012,9,20,Thursday,September,3,2012-09-30,-10.0,3,-0.000540853260528884,0.02158362147150683,-0.0005407070257691382
2012-09-21,1460.15,2012,9,21,Friday,September,4,2012-09-30,-9.0,3,-7.533188836639226e-05,0.02150828958314044,-7.532905099083553e-05
2012-09-24,1456.89,2012,9,24,Monday,September,0,2012-09-30,-6.0,4,-0.002235143403731321,0.019273146179409117,-0.0022326473307536787
2012-09-25,1441.59,2012,9,25,Tuesday,September,1,2012-09-30,-5.0,4,-0.010557355654258416,0.008715790525150702,-0.010501822375059366
2012-09-26,1433.32,2012,9,26,Wednesday,September,2,2012-09-30,-4.0,4,-0.00575323944835926,0.002962551076791442,-0.005736721259165245
2012-09-27,1447.15,2012,9,27,Thursday,September,3,2012-09-30,-3.0,4,0.00960267336469478,0.012565224441486222,0.009648926966762561
2012-09-28,1440.67,2012,9,28,Friday,September,4,2012-09-30,-2.0,4,-0.004487821869708419,0.008077402571777803,-0.004477766644784609
2012-10-01,1444.49,2012,10,1,Monday,October,0,2012-10-31,-30.0,1,0.0026480349319832897,0.010725437503761093,0.00265154407324375
2012-10-02,1445.75,2012,10,2,Tuesday,October,1,2012-10-31,-29.0,1,0.0008718999666621485,0.011597337470423241,0.0008722801819327497
2012-10-03,1450.99,2012,10,3,Wednesday,October,2,2012-10-31,-28.0,1,0.0036178640233517356,0.015215201493774977,0.0036244163928755846
2012-10-04,1461.4,2012,10,4,Thursday,October,3,2012-10-31,-27.0,1,0.007148798295437686,0.022363999789212663,0.007174411953218218
2012-10-05,1460.93,2012,10,5,Friday,October,4,2012-10-31,-26.0,1,-0.00032166114302789595,0.022042338646184767,-0.00032160941562886514
2012-10-08,1455.88,2012,10,8,Monday,October,0,2012-10-31,-23.0,2,-0.003462690436391469,0.018579648209793298,-0.0034567022376157386
2012-10-09,1441.48,2012,10,9,Tuesday,October,1,2012-10-31,-22.0,2,-0.009940165231842713,0.008639482977950586,-0.009890925076242563
2012-10-10,1432.56,2012,10,10,Wednesday,October,2,2012-10-31,-21.0,2,-0.0062073100173511975,0.002432172960599388,-0.006188084468740529
2012-10-11,1432.84,2012,10,11,Thursday,October,3,2012-10-31,-20.0,2,0.00019543519291609357,0.0026276081535154816,0.0001954542916178248
2012-10-12,1428.59,2012,10,12,Friday,October,4,2012-10-31,-19.0,2,-0.00297054488505033,-0.0003429367315348486,-0.002966137182099926
2012-10-15,1440.13,2012,10,15,Monday,October,0,2012-10-31,-16.0,3,0.008045443436660804,0.0077025067051259555,0.00807789498736522
2012-10-16,1454.92,2012,10,16,Tuesday,October,1,2012-10-31,-15.0,3,0.010217529003082149,0.017920035708208104,0.010269906189024569
2012-10-17,1460.91,2012,10,17,Wednesday,October,2,2012-10-31,-14.0,3,0.004108612934417444,0.022028648642625548,0.004117064855799546
2012-10-18,1457.34,2012,10,18,Thursday,October,3,2012-10-31,-13.0,3,-0.002446673027257873,0.019581975615367675,-0.002443682362363253
2012-10-19,1433.19,2012,10,19,Friday,October,4,2012-10-31,-12.0,3,-0.016710127170061817,0.002871848445305858,-0.01657128741405567
2012-10-22,1433.82,2012,10,22,Monday,October,0,2012-10-31,-9.0,4,0.0004394822551301303,0.003311330700435988,0.0004395788416049484
2012-10-23,1413.11,2012,10,23,Tuesday,October,1,2012-10-31,-8.0,4,-0.014549262064668333,-0.011237931364232345,-0.014443932990194086
2012-10-24,1408.75,2012,10,24,Wednesday,October,2,2012-10-31,-7.0,4,-0.0030901628496859956,-0.014328094213918341,-0.0030853932107195448
2012-10-25,1412.97,2012,10,25,Thursday,October,3,2012-10-31,-6.0,4,0.002991085682645611,-0.01133700853127273,0.002995563442768523
2012-10-26,1411.94,2012,10,26,Friday,October,4,2012-10-31,-5.0,4,-0.0007292268041414474,-0.012066235335414177,-0.0007289609828942112
2012-10-31,1412.16,2012,10,31,Wednesday,October,2,2012-10-31,0.0,5,0.00015580184869179448,-0.011910433486722383,0.00015581398642994237
2012-11-01,1427.59,2012,11,1,Thursday,November,3,2012-11-30,-29.0,1,0.0108672607470508,-0.0010431727396715829,0.010926523906639396
2012-11-02,1414.2,2012,11,2,Friday,November,4,2012-11-30,-28.0,1,-0.009423707658092972,-0.010466880397764555,-0.00937944367780652
2012-11-05,1417.26,2012,11,5,Monday,November,0,2012-11-30,-25.0,1,0.002161429927531877,-0.008305450470232678,0.0021637675010606205
2012-11-06,1428.39,2012,11,6,Tuesday,November,1,2012-11-30,-24.0,1,0.00782250575801502,-0.0004829447122176589,0.00785318149104608
2012-11-07,1394.53,2012,11,7,Wednesday,November,2,2012-11-30,-23.0,1,-0.023990494932418116,-0.024473439644635775,-0.023705010536338222
